City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Vaini,-21.2,-175.2,75.2,88,75,11.41,TO,1603589918
Bethel,41.37,-73.41,48.0,76,38,1.01,US,1603590001
Bluff,-46.6,168.33,54.45,84,93,20.2,NZ,1603590067
Punta Arenas,-53.15,-70.92,42.8,93,90,13.87,CL,1603590022
Khovd,48.01,91.64,30.7,69,0,5.3,MN,1603589871
Coquimbo,-29.95,-71.34,55.4,82,6,8.05,CL,1603589876
Arraial do Cabo,-22.97,-42.03,70.2,93,100,21.7,BR,1603589859
San Quintín,30.48,-115.95,64.72,82,100,9.42,MX,1603589959
Puerto Ayora,-0.74,-90.35,68.0,95,100,5.01,EC,1603590079
Maryville,35.76,-83.97,64.4,88,90,6.93,US,1603590081
Vestmannaeyjar,63.44,-20.27,45.01,68,100,25.03,IS,1603590084
Dwārka,22.24,68.97,81.64,54,1,3.94,IN,1603590086
Khatanga,71.97,102.5,6.82,95,100,14.07,RU,1603589851
Kapaa,22.08,-159.32,84.2,66,20,12.75,US,1603590090
Avera,33.19,-82.53,73.4,83,75,3.36,US,1603590092
Puerto Padre,21.2,-76.6,80.6,88,90,6.93,CU,1603590094
Murgab,37.5,61.97,44.6,55,0,6.93,TM,1603590096
Dumas,35.87,-101.97,64.0,33,1,21.72,US,1603590098
Qaanaaq,77.48,-69.36,17.46,92,100,12.86,GL,1603589869
Rocha,-34.48,-54.33,58.87,97,23,4.47,UY,1603590103
Richards Bay,-28.78,32.04,69.03,79,0,13.04,ZA,1603590006
Mount Gambier,-37.83,140.77,55.4,54,90,24.16,AU,1603590107
Crixás,-14.55,-49.97,69.67,92,99,3.27,BR,1603590109
Tuatapere,-46.13,167.68,62.6,68,100,11.05,NZ,1603590014
São João do Piauí,-8.36,-42.25,79.65,53,71,1.05,BR,1603590113
Hobart,-42.88,147.33,57.0,43,40,11.41,AU,1603590116
Ponta do Sol,32.67,-17.1,64.4,72,20,6.93,PT,1603589974
Wahpeton,46.27,-96.61,23.0,79,90,9.17,US,1603590120
Ambilobe,-13.2,49.05,68.79,79,0,4.72,MG,1603590062
East London,-33.02,27.91,68.54,89,14,4.43,ZA,1603590124
Thompson,55.74,-97.86,21.2,85,75,5.82,CA,1603590126
Severo-Yeniseyskiy,60.37,93.04,21.9,98,99,6.58,RU,1603589877
Nikolskoye,59.7,30.79,39.2,86,90,3.67,RU,1603590130
Saskylakh,71.92,114.08,11.66,94,100,18.86,RU,1603589853
Hong Kong,22.29,114.16,75.99,64,99,4.0,HK,1603589855
Jamestown,42.1,-79.24,42.01,70,90,3.36,US,1603590137
Comodoro Rivadavia,-45.87,-67.5,60.8,67,0,8.05,AR,1603590139
Atuona,-9.8,-139.03,78.49,76,30,19.6,PF,1603589930
São Filipe,14.9,-24.5,81.39,71,100,6.35,CV,1603590143
Carnarvon,-24.87,113.63,73.4,83,90,17.22,AU,1603590145
Tasiilaq,65.61,-37.64,33.8,69,79,5.82,GL,1603590147
Lieto,60.51,22.46,30.99,100,90,2.24,FI,1603590150
Hilo,19.73,-155.09,84.2,66,20,16.11,US,1603590152
Cape Town,-33.93,18.42,60.01,82,40,2.24,ZA,1603590085
Dingle,11.0,122.67,82.36,78,100,3.06,PH,1603590156
Palmer,42.16,-72.33,51.01,74,10,1.01,US,1603590158
Aswān,24.09,32.91,71.37,35,0,13.6,EG,1603590079
Hermanus,-34.42,19.23,61.0,82,37,3.0,ZA,1603589970
Badnāwar,23.02,75.22,66.2,68,21,1.36,IN,1603590164
Barrow,71.29,-156.79,32.0,96,90,11.41,US,1603590166
Solnechnyy,50.72,136.63,37.74,88,99,17.25,RU,1603590169
Rawson,-43.3,-65.1,58.35,59,55,11.77,AR,1603589897
Yerbogachën,61.28,108.01,24.78,95,100,2.77,RU,1603590173
Lebu,-37.62,-73.65,48.63,81,0,4.12,CL,1603590175
Yellowknife,62.46,-114.35,24.01,67,75,3.36,CA,1603590177
Mont-Dore,-22.28,166.58,87.01,92,30,13.4,NC,1603590179
Hay River,60.82,-115.8,23.0,85,20,2.24,CA,1603590089
Vikindu,-7.01,39.3,75.2,88,20,3.94,TZ,1603590183
Cayenne,4.93,-52.33,80.6,83,0,2.24,GF,1603590186
Beringovskiy,63.05,179.32,31.44,95,99,13.78,RU,1603590188
Severo-Kuril'sk,50.68,156.12,48.13,90,100,3.78,RU,1603590187
Cidreira,-30.18,-50.21,68.54,92,8,16.31,BR,1603589919
Tiksi,71.69,128.87,9.88,91,100,26.89,RU,1603590142
Ponta Delgada,37.73,-25.67,64.4,93,75,3.36,PT,1603590196
Mandurah,-32.55,115.7,79.0,29,18,18.34,AU,1603590198
Turaif,31.67,38.66,57.2,33,0,10.29,SA,1603590200
Panabá,21.28,-88.27,76.82,92,69,7.83,MX,1603590093
Maniitsoq,65.42,-52.9,23.14,86,6,9.08,GL,1603590205
Narsaq,60.92,-46.05,26.6,68,100,1.12,GL,1603590207
Chumikan,54.72,135.31,37.27,78,100,15.17,RU,1603590209
Hofn,64.25,-15.21,44.53,81,54,18.99,IS,1603590211
Namtsy,62.72,129.67,1.4,91,40,2.17,RU,1603590213
Bud,39.45,-86.18,48.0,65,90,9.17,US,1603590215
Bambous Virieux,-20.34,57.76,69.8,94,75,16.11,MU,1603590217
Moanda,-1.56,13.22,71.2,98,100,1.16,GA,1603590220
Kruisfontein,-34.0,24.73,60.01,90,0,5.84,ZA,1603590177
Sitrah,26.15,50.62,78.8,74,0,2.24,BH,1603590224
Batagay,67.63,134.63,13.84,89,3,5.06,RU,1603590226
Danshui,22.8,114.47,79.0,83,73,8.01,CN,1603590228
Danilovka,50.36,44.12,54.14,92,100,7.43,RU,1603590230
Iqaluit,63.75,-68.51,26.6,79,75,6.93,CA,1603590233
Flinders,-34.58,150.86,57.99,77,100,5.99,AU,1603590160
Tornio,65.85,24.15,26.6,92,75,5.82,FI,1603590237
Cabo San Lucas,22.89,-109.91,84.2,58,5,9.93,MX,1603590239
Port Alfred,-33.59,26.89,65.17,90,1,7.18,ZA,1603590241
Bulungu,-4.55,18.6,70.16,98,82,1.16,CD,1603590243
Los Llanos de Aridane,28.66,-17.92,69.8,73,90,10.29,ES,1603589967
Azare,11.68,10.19,76.41,24,95,7.94,NG,1603590247
Udachny,66.42,112.4,6.8,92,0,6.71,RU,1603590250
Souillac,-20.52,57.52,69.8,94,75,16.11,MU,1603590252
Berlevåg,70.86,29.09,38.3,76,100,15.19,NO,1603590191
San Cristobal,7.77,-72.22,66.63,83,21,1.32,VE,1603590256
Workington,54.64,-3.54,48.0,80,0,11.99,GB,1603590258
George Town,5.41,100.34,82.4,83,20,7.16,MY,1603590260
Mahébourg,-20.41,57.7,69.8,94,75,16.11,MU,1603590262
Port Elizabeth,-33.92,25.57,60.8,93,0,4.7,ZA,1603590264
Kahului,20.89,-156.47,91.4,49,40,13.87,US,1603590266
Naze,28.37,129.48,77.0,53,40,13.87,JP,1603590269
Assiut,27.18,31.18,64.9,51,0,6.87,EG,1603590022
Saint Paul Harbor,57.79,-152.41,44.6,93,90,3.36,US,1603589988
Kazan’,55.79,49.12,41.0,93,0,6.71,RU,1603590275
Juneau,58.3,-134.42,37.0,59,90,3.36,US,1603590008
Baruun-Urt,46.68,113.28,41.43,60,2,5.53,MN,1603590279
Trincomalee,8.57,81.23,80.82,76,100,11.83,LK,1603590281
Eydhafushi,5.1,73.07,83.21,76,100,11.07,MV,1603590284
Bilma,18.69,12.92,71.83,21,0,13.0,NE,1603590051
Saint George,37.1,-113.58,75.2,31,66,1.01,US,1603590131
Talnakh,69.49,88.4,12.2,92,75,11.18,RU,1603590165
Torbay,47.67,-52.73,50.0,100,90,24.16,CA,1603590293
Avarua,-21.21,-159.78,77.0,69,37,14.99,CK,1603590295
Palamós,41.85,3.13,62.01,59,0,15.39,ES,1603590297
Dikson,73.51,80.55,21.97,92,42,5.26,RU,1603590299
Luanda,-8.84,13.23,75.2,88,75,4.7,AO,1603590301
Sur,22.57,59.53,76.98,50,0,12.57,OM,1603590303
Butaritari,3.07,172.79,81.05,69,83,7.52,KI,1603590126
Inuvik,68.35,-133.72,24.8,62,40,5.82,CA,1603590308
Kaitangata,-46.28,169.85,66.63,61,100,8.79,NZ,1603590143
New Norfolk,-42.78,147.06,57.0,44,75,1.99,AU,1603590140
Chokurdakh,70.63,147.92,14.05,97,43,7.43,RU,1603590185
Grevená,40.08,21.43,50.0,76,100,2.48,GR,1603590316
Lorengau,-2.02,147.27,86.29,60,44,6.87,PG,1603590318
Georgiyevka,43.04,74.71,33.8,86,56,4.47,KZ,1603590321
Ngama,11.78,17.17,79.9,22,26,9.8,TD,1603590323
Kumul,42.8,93.45,47.77,49,0,8.66,CN,1603590325
Ţahţā,26.77,31.5,66.2,45,0,4.7,EG,1603590327
Jiaojiang,28.68,121.44,73.0,97,1,2.95,CN,1603590329
Nyurba,63.28,118.33,25.18,96,90,5.57,RU,1603590331
Mangalia,43.8,28.58,59.0,62,0,9.17,RO,1603590334
Manmād,20.25,74.45,74.46,62,0,3.85,IN,1603590336
Emba,48.83,58.14,45.54,62,76,11.12,KZ,1603590338
Fortuna,40.6,-124.16,53.01,87,90,6.93,US,1603590340
Sitka,57.05,-135.33,41.0,44,90,3.36,US,1603590292
Zwedru,6.07,-8.13,71.62,98,52,2.19,LR,1603590344
Busselton,-33.65,115.33,79.0,32,62,8.61,AU,1603590125
Inverness,57.48,-4.22,44.01,93,1,2.24,GB,1603590349
Bereda,43.27,-7.54,57.99,100,100,11.99,ES,1603590351
Okha,53.57,142.95,46.38,88,60,5.37,RU,1603590353
Nouadhibou,20.93,-17.03,73.4,69,0,19.46,MR,1603590355
Silver City,32.77,-108.28,62.6,33,1,10.29,US,1603590357
Mar del Plata,-38.0,-57.56,61.0,100,90,5.82,AR,1603590231
Port-Gentil,-0.72,8.78,78.33,84,100,14.52,GA,1603590362
Ibiá,-19.48,-46.54,66.99,100,100,1.99,BR,1603590364
Airai,-8.93,125.41,79.83,50,82,1.39,TL,1603590366
Kharp,66.8,65.81,11.07,93,96,5.97,RU,1603590368
Hithadhoo,-0.6,73.08,83.28,73,40,8.57,MV,1603590370
Acapulco de Juárez,16.86,-99.89,84.2,79,40,8.05,MX,1603590230
Micco,27.88,-80.5,80.01,99,14,15.9,US,1603590374
Bathsheba,13.22,-59.52,82.4,74,75,25.28,BB,1603590376
Husavik,66.04,-17.34,41.0,80,90,20.8,IS,1603590379
Conde,-7.26,-34.91,77.0,88,40,3.36,BR,1603590381
Upernavik,72.79,-56.15,21.85,93,88,7.7,GL,1603590383
Brae,60.4,-1.35,50.0,81,0,13.87,GB,1603590385
Pangoa,-12.12,-73.0,73.92,72,78,3.04,PE,1603590387
Lagoa,39.05,-27.98,64.71,72,89,17.6,PT,1603590389
Tura,25.52,90.22,73.45,96,46,4.34,IN,1603590391
Nadym,65.53,72.52,12.33,95,24,9.48,RU,1603590393
Monrovia,6.3,-10.8,77.0,94,40,7.16,LR,1603590395
Ulcinj,41.93,19.22,57.2,100,90,1.12,ME,1603590149
Chandrakona,22.73,87.52,78.39,81,1,2.21,IN,1603590400
Arrondissement de Lannion,48.75,-3.42,51.8,87,99,9.17,FR,1603590402
Ballina,-28.87,153.57,84.2,69,21,12.75,AU,1603590404
Kadaya,50.93,119.29,36.75,75,80,3.98,RU,1603590406
Verkhnyaya Inta,65.98,60.31,21.97,91,100,13.65,RU,1603590408
Nemuro,43.32,145.57,55.4,54,75,18.34,JP,1603590315
Kristianstad,56.03,14.15,52.0,93,99,7.83,SE,1603590413
Yar-Sale,66.83,70.83,15.33,96,8,6.93,RU,1603590415
Laas,46.62,10.7,46.0,93,5,3.36,IT,1603590417
Sioux Lookout,50.1,-91.92,24.8,85,90,4.7,CA,1603590419
Chicama,-7.84,-79.15,64.04,78,38,5.86,PE,1603590421
Khurda,20.18,85.62,77.0,94,40,4.83,IN,1603590423
Kamensk-Ural'skiy,56.42,61.93,37.36,95,91,7.72,RU,1603590425
Tuktoyaktuk,69.45,-133.04,23.0,79,75,12.75,CA,1603590428
Central Point,42.38,-122.92,60.8,41,75,10.29,US,1603590430
Dusnok,46.39,18.96,55.17,86,100,4.29,HU,1603590432
Nanortalik,60.14,-45.24,32.72,89,100,3.83,GL,1603590434
Riosucio,5.42,-75.7,59.31,94,100,1.59,CO,1603590220
Inhambane,-23.86,35.38,72.23,84,77,7.9,MZ,1603590438
Le Port,-20.94,55.29,71.6,56,0,16.11,RE,1603590440
Myanaung,18.28,95.32,79.12,88,98,4.21,MM,1603590443
Saldanha,-33.01,17.94,58.41,92,0,4.14,ZA,1603590445
Bandarbeyla,9.49,50.81,74.97,80,63,2.8,SO,1603590447
Farap,39.17,63.61,37.4,69,0,2.24,TM,1603590449
Yarim,14.3,44.38,46.83,45,0,3.91,YE,1603590451
Alofi,-19.06,-169.92,82.4,69,91,19.46,NU,1603590439
São Sepé,-30.16,-53.57,67.03,88,0,5.97,BR,1603590455
Shingū,33.73,135.98,62.6,48,20,14.99,JP,1603590457
Condoto,5.09,-76.65,73.78,95,100,1.59,CO,1603590460
Umm Kaddadah,13.6,26.69,79.0,22,0,17.4,SD,1603590462
Kaeo,-35.1,173.78,67.8,64,4,7.96,NZ,1603590464
Hobyo,5.35,48.53,79.14,80,98,3.98,SO,1603590466
Dzerzhinsk,56.24,43.46,37.4,93,75,2.24,RU,1603590468
Zhigalovo,54.81,105.16,35.65,90,100,4.72,RU,1603590470
Morondava,-20.28,44.28,76.78,62,77,12.15,MG,1603590472
Bengkulu,-3.8,102.27,83.46,66,100,1.83,ID,1603590474
Castro,-24.79,-50.01,61.99,92,98,1.92,BR,1603590372
Nizwá,22.93,57.53,65.55,27,0,7.54,OM,1603590479
Katsuura,35.13,140.3,66.99,42,40,13.87,JP,1603590481
Port Lincoln,-34.73,135.87,55.29,58,42,17.09,AU,1603590483
Tagusao,9.19,117.81,83.62,74,72,6.8,PH,1603590485
Lüderitz,-26.65,15.16,62.19,63,29,16.13,NA,1603590487
Veisiejai,54.1,23.7,48.58,92,65,7.29,LT,1603590489
Paragominas,-2.97,-47.48,73.89,90,2,3.36,BR,1603590491
Egvekinot,66.32,-179.17,23.92,96,8,6.85,RU,1603590205
Gouré,13.98,10.27,79.0,17,44,11.01,NE,1603590495
Mikhaylovskoye,51.82,79.72,31.53,79,100,14.25,RU,1603590498
Puerto Colombia,10.99,-74.95,77.0,94,40,3.36,CO,1603590500
Penzance,50.12,-5.54,51.8,71,32,31.09,GB,1603590502
Tocopilla,-22.09,-70.2,62.58,65,71,6.98,CL,1603590504
Upata,8.01,-62.4,78.01,92,99,3.0,VE,1603590506
Mae Hong Son,19.3,97.97,82.02,63,100,0.69,TH,1603590350
Itoman,26.12,127.67,77.0,47,20,12.75,JP,1603590510
Jacareacanga,-6.22,-57.75,72.39,98,60,1.34,BR,1603590512
Tailai,46.38,123.4,46.65,52,52,7.14,CN,1603590515
Slyudyanka,51.66,103.71,37.42,79,100,10.4,RU,1603590517
Puerto Escondido,15.85,-97.07,81.19,84,90,5.55,MX,1603590519
Geraldton,-28.77,114.6,89.6,15,0,19.46,AU,1603590521
Cherskiy,68.75,161.3,18.57,94,12,5.37,RU,1603590523
Klaksvík,62.23,-6.59,46.4,81,100,20.8,FO,1603590525
Salalah,17.02,54.09,71.6,46,0,3.36,OM,1603590512
Taksimo,56.34,114.88,26.58,92,100,1.63,RU,1603590530
Domoni,-12.26,44.53,76.15,79,0,8.19,KM,1603590532
Mount Isa,-20.73,139.5,78.8,34,0,11.41,AU,1603590534
Provideniya,64.38,-173.3,34.56,87,91,11.03,RU,1603590536
Alamosa,37.47,-105.87,55.4,24,1,20.8,US,1603590538
Ol'ga,43.74,135.29,48.4,52,0,15.39,RU,1603590540
Hasaki,35.73,140.83,68.0,55,40,5.82,JP,1603590278
Mananjary,-21.22,48.33,68.18,87,99,3.22,MG,1603590545
Henties Bay,-22.12,14.28,57.99,90,0,4.54,NA,1603590547
Gigmoto,13.78,124.39,83.05,82,100,16.26,PH,1603590549
Potsdam,52.4,13.07,53.01,90,15,1.01,DE,1603590551
Saint-Philippe,-21.36,55.77,71.6,49,0,6.93,RE,1603590553
Kununurra,-15.77,128.73,93.2,49,61,6.93,AU,1603590555
Lagos,6.58,3.75,77.47,89,83,4.38,NG,1603590293
Williams Lake,52.14,-122.14,14.0,78,20,3.36,CA,1603590559
Stolin,51.89,26.85,45.43,95,0,5.93,BY,1603590562
Bayeux,-7.12,-34.93,77.0,88,40,3.36,BR,1603590564
Mexico,15.06,120.72,82.4,83,75,9.17,PH,1603590387
Aklavik,68.22,-135.01,24.8,62,40,5.82,CA,1603590568
Asău,46.43,26.4,52.0,98,100,1.95,RO,1603590570
Mehamn,71.04,27.85,36.9,80,99,11.41,NO,1603590572
Shizunai-furukawachō,42.33,142.37,51.69,69,96,22.88,JP,1603590574
Isabela,6.71,121.97,75.2,94,90,5.82,PH,1603590577
Katangli,51.71,143.23,47.35,79,54,11.65,RU,1603590579
Erbil,36.19,44.01,68.68,23,0,4.54,IQ,1603590581
Coahuayana Viejo,18.73,-103.68,80.73,90,62,2.46,MX,1603590583
Biak,-0.91,122.88,84.96,63,100,2.64,ID,1603590585
Tevriz,57.51,72.4,28.26,98,100,11.86,RU,1603590587
Sakaraha,-22.9,44.53,67.41,71,3,4.12,MG,1603590590
Altay,47.87,88.12,24.76,80,1,4.45,CN,1603590592
Raduzhny,62.1,77.47,16.38,97,77,8.72,RU,1603590594
Westport,41.14,-73.36,53.6,58,1,12.75,US,1603590509
Northam,51.03,-4.22,48.0,89,1,14.0,GB,1603590598
Kalmunai,7.42,81.82,81.68,70,100,1.63,LK,1603590600
Athabasca,54.72,-113.29,17.35,89,12,8.05,CA,1603590366
Marystown,47.17,-55.15,52.0,100,100,5.01,CA,1603590605
Māndalgarh,25.2,75.1,70.56,42,0,5.21,IN,1603590607
Homer,59.64,-151.55,50.0,57,1,5.82,US,1603590609
Sedro-Woolley,48.5,-122.24,42.8,60,90,5.82,US,1603590611
Bad Doberan,54.11,11.9,57.0,82,75,8.05,DE,1603590613
Pilcaya,18.73,-99.68,72.0,33,20,6.93,MX,1603590615
Chevilly-Larue,48.76,2.35,59.0,72,0,16.11,FR,1603590617
Colón,9.36,-79.9,78.8,88,100,2.24,PA,1603590619
Redlands,34.06,-117.18,69.8,49,75,8.05,US,1603590421
Chegutu,-18.13,30.14,63.61,56,91,5.77,ZW,1603590624
Say,13.1,2.37,80.6,42,67,2.24,NE,1603590626
Ancud,-41.87,-73.82,45.0,93,20,4.7,CL,1603590628
Guamal,9.14,-74.22,75.7,94,100,2.91,CO,1603590630
Boyabat,41.47,34.77,59.94,41,0,1.97,TR,1603590632
Cottage Grove,44.83,-92.94,30.2,54,1,3.06,US,1603590634
Arrondissement de Clermont,49.5,2.42,57.2,82,75,26.4,FR,1603590636
Garissa,-0.45,39.64,77.38,73,62,13.2,KE,1603590638
Krasnoborsk,61.56,45.93,29.25,97,93,7.16,RU,1603590641
Antofagasta,-23.65,-70.4,59.0,82,90,11.41,CL,1603590643
Makakilo City,21.35,-158.09,84.2,70,1,6.93,US,1603590645
Vostok,46.49,135.88,31.42,99,100,4.9,RU,1603590647
Verāval,20.9,70.37,80.38,60,41,4.97,IN,1603590649
Tawang Town,27.58,91.87,54.39,68,89,0.92,IN,1603590652
Tazovsky,67.47,78.7,13.73,97,92,6.29,RU,1603590654
Stornoway,58.21,-6.39,46.4,81,93,31.09,GB,1603590656
Abnūb,27.27,31.15,64.4,72,0,11.41,EG,1603590659
Emmen,52.78,6.91,59.0,72,100,12.75,NL,1603590661
Namatanai,-3.67,152.43,85.19,67,28,4.21,PG,1603590663
Cao Bang,22.67,106.25,73.4,54,62,0.34,VN,1603590665
Batagay-Alyta,67.8,130.41,12.63,87,100,4.83,RU,1603590667
Norman Wells,65.28,-126.83,21.2,85,75,4.7,CA,1603590669
Bonavista,48.65,-53.11,48.0,82,100,7.0,CA,1603590672
Bandar-e Lengeh,26.56,54.88,76.69,52,0,7.45,IR,1603590674
Half Moon Bay,37.46,-122.43,63.0,87,90,4.7,US,1603590510
Matamoros,25.53,-103.25,87.8,15,5,6.08,MX,1603590678
Austin,30.27,-97.74,64.4,52,90,4.7,US,1603590387
Vitim,59.45,112.56,34.47,90,100,5.91,RU,1603590682
Montmagny,48.97,2.35,59.0,72,75,20.8,FR,1603590685
Yantal',56.85,105.25,33.51,93,100,10.94,RU,1603590687
Ahipara,-35.17,173.17,68.22,64,45,6.85,NZ,1603590689
Yeppoon,-23.13,150.73,77.0,88,75,10.29,AU,1603590691
Constitución,-35.33,-72.42,52.86,86,89,9.8,CL,1603590693
Nampa,43.54,-116.56,44.6,52,20,14.99,US,1603590695
Florianópolis,-27.61,-48.5,73.4,88,75,5.82,BR,1603590698
Kargasok,59.06,80.86,19.9,95,95,8.75,RU,1603590700
Moirāng,24.5,93.77,64.4,93,75,2.17,IN,1603590702
Pisco,-13.7,-76.22,62.6,82,0,12.75,PE,1603590704
Zeya,53.75,127.27,38.77,70,0,3.56,RU,1603590706
Kuril'sk,45.23,147.88,48.97,72,95,20.98,RU,1603590708
Champasak,14.75,106.0,78.39,68,100,0.74,LA,1603590711
Caratinga,-19.79,-42.14,65.97,97,100,1.86,BR,1603590713
Ust-Nera,64.57,143.2,21.04,91,89,2.77,RU,1603590715
Shelburne,44.08,-80.2,36.0,93,75,4.41,CA,1603590717
Genhe,50.78,121.52,37.94,72,10,1.74,CN,1603590719
Honningsvåg,70.98,25.97,38.62,82,100,13.42,NO,1603590722
Longyearbyen,78.22,15.64,21.2,85,40,2.04,SJ,1603590724
Cayhagan,9.67,122.43,81.88,78,100,11.03,PH,1603590726
Leh,34.17,77.58,32.63,74,0,3.33,IN,1603590729
Gafanha da Encarnação,40.62,-8.73,62.01,87,100,4.0,PT,1603590731
Mogzon,51.74,111.96,34.65,83,100,4.21,RU,1603590733
Marfino,55.7,37.38,46.0,87,90,8.95,RU,1603590735
Sinnamary,5.38,-52.95,81.09,79,97,11.01,GF,1603590737
Deputatsky,69.3,139.9,7.41,91,0,6.78,RU,1603590740
Camacha,33.08,-16.33,62.6,72,20,6.93,PT,1603590742
Fécamp,49.76,0.37,51.8,93,100,14.99,FR,1603590744
Lompoc,34.64,-120.46,64.4,68,90,5.82,US,1603590570
Traverse City,44.76,-85.62,37.4,74,90,4.0,US,1603590748
Krasnyy Klyuch,55.39,56.65,40.42,95,100,6.6,RU,1603590750
Brooks,50.58,-111.89,7.18,94,2,8.21,CA,1603590752
Keningau,5.34,116.16,86.0,74,20,3.36,MY,1603590754
Ulagan,50.63,87.96,19.06,83,40,2.26,RU,1603590757
Philadelphia,39.95,-75.16,55.99,66,75,11.41,US,1603590549
Insar,53.87,44.37,45.88,85,100,4.16,RU,1603590761
Kenai,60.55,-151.26,48.2,70,90,8.05,US,1603590763
Bossangoa,6.49,17.46,70.57,91,100,3.56,CF,1603590765
Senador Guiomard,-10.15,-67.74,84.2,70,0,4.7,BR,1603590768
Pangkalanbuun,-2.68,111.62,89.04,62,100,0.65,ID,1603590770
Ozinki,51.18,49.68,48.99,80,100,3.89,RU,1603590772
Brewster,41.4,-73.62,48.0,76,42,1.01,US,1603590774
Lensk,60.73,114.93,31.66,96,100,2.42,RU,1603590777
Hamilton,39.18,-84.53,46.99,75,40,5.82,US,1603590658
Tete,-16.16,33.59,74.12,69,14,5.26,MZ,1603590781
Pangnirtung,66.15,-65.71,16.61,86,83,5.44,CA,1603590783
Zhuhai,22.28,113.57,80.01,69,20,10.29,CN,1603590785
Heswall,53.33,-3.1,46.4,87,0,10.29,GB,1603590787
Mandlā,22.6,80.38,71.26,65,0,0.81,IN,1603590789
Codrington,-38.27,141.97,52.74,65,83,22.82,AU,1603590791
Mombetsu,44.35,143.35,51.8,57,40,20.8,JP,1603590794
Laguna,38.42,-121.42,64.99,63,1,6.93,US,1603590659
Taltal,-25.4,-70.48,58.01,73,100,3.69,CL,1603590692
Sola,-13.88,167.55,80.56,80,3,15.23,VU,1603590800
Tilichiki,60.47,166.1,34.47,86,20,0.89,RU,1603590506
Qaqortoq,60.72,-46.03,26.6,68,100,1.12,GL,1603590804
Bethanien,-26.5,17.16,67.08,25,40,6.78,NA,1603590807
Jalu,29.03,21.55,61.52,80,0,6.04,LY,1603590809
Samarai,-10.62,150.67,81.68,80,59,6.15,PG,1603590811
Fengzhen,40.44,113.15,52.74,50,52,4.29,CN,1603590813
Meulaboh,4.14,96.13,74.26,94,100,6.62,ID,1603590815
Acaraú,-2.89,-40.12,78.98,83,0,14.32,BR,1603590817
Alyangula,-13.85,136.42,86.0,70,1,9.17,AU,1603590819
Jiayuguan City,39.82,98.3,41.0,64,91,5.86,CN,1603590821
Da Lat,11.95,108.44,71.74,68,38,2.26,VN,1603590795
Pevek,69.7,170.31,28.54,90,0,16.46,RU,1603590826
Likasi,-10.98,26.73,65.73,42,78,4.88,CD,1603590828
Menongue,-14.66,17.69,63.43,53,37,1.72,AO,1603590830
Nizhniy Ufaley,55.92,59.98,39.61,94,100,9.8,RU,1603590833
Matadi,-5.82,13.45,76.17,82,100,4.92,CD,1603590835
Mariinsk,56.21,87.75,26.17,90,90,9.62,RU,1603590837
Rancho Palos Verdes,33.74,-118.39,66.0,77,75,6.93,US,1603590839
Kieta,-6.22,155.63,85.35,70,77,7.52,PG,1603590831
Chernyshevskiy,63.01,112.47,26.2,96,100,2.8,RU,1603590843
Gwanda,-20.93,29.0,65.39,50,0,5.68,ZW,1603590845
Plouzané,48.38,-4.62,53.6,81,20,18.34,FR,1603590848
